run;nb_cc;ethnie;proportion;proportion_correct_cau;proportion_correct_ch;
1;10;ch;0;0.214285714285714;0;
2;10;ch;0;0.0535714285714285;0;
3;10;ch;0;0.196428571428571;0;
4;10;ch;0;0.25;0;
5;10;ch;0;0.196428571428571;0;
6;10;ch;0;0.392857142857142;0;
7;10;ch;0;0.178571428571428;0;
8;10;ch;0;0.285714285714285;0;
9;10;ch;0;0.125;0;
10;10;ch;0;0.178571428571428;0;
1;10;ch;10;0.339285714285714;0.5;
2;10;ch;10;0.125;0.166666666666666;
3;10;ch;10;0.196428571428571;0.5;
4;10;ch;10;0.160714285714285;0;
5;10;ch;10;0.178571428571428;0.166666666666666;
6;10;ch;10;0.285714285714285;0.333333333333333;
7;10;ch;10;0.285714285714285;0.333333333333333;
8;10;ch;10;0.196428571428571;0.5;
9;10;ch;10;0.178571428571428;0.166666666666666;
10;10;ch;10;0.142857142857142;0;
1;10;ch;20;0.571428571428571;0.357142857142857;
2;10;ch;20;0.410714285714285;0.142857142857142;
3;10;ch;20;0.517857142857142;0.428571428571428;
4;10;ch;20;0.339285714285714;0.285714285714285;
5;10;ch;20;0.5;0.428571428571428;
6;10;ch;20;0.446428571428571;0.5;
7;10;ch;20;0.517857142857142;0.428571428571428;
8;10;ch;20;0.553571428571428;0.5;
9;10;ch;20;0.428571428571428;0.428571428571428;
10;10;ch;20;0.517857142857142;0.571428571428571;
1;10;ch;30;0.482142857142857;0.375;
2;10;ch;30;0.535714285714285;0.666666666666666;
3;10;ch;30;0.589285714285714;0.5;
4;10;ch;30;0.5;0.458333333333333;
5;10;ch;30;0.5;0.541666666666666;
6;10;ch;30;0.392857142857142;0.416666666666666;
7;10;ch;30;0.535714285714285;0.416666666666666;
8;10;ch;30;0.589285714285714;0.5;
9;10;ch;30;0.428571428571428;0.541666666666666;
10;10;ch;30;0.482142857142857;0.708333333333333;
1;10;ch;40;0.678571428571428;0.513513513513513;
2;10;ch;40;0.446428571428571;0.405405405405405;
3;10;ch;40;0.410714285714285;0.567567567567567;
4;10;ch;40;0.375;0.459459459459459;
5;10;ch;40;0.553571428571428;0.594594594594594;
6;10;ch;40;0.428571428571428;0.486486486486486;
7;10;ch;40;0.410714285714285;0.405405405405405;
8;10;ch;40;0.517857142857142;0.459459459459459;
9;10;ch;40;0.535714285714285;0.324324324324324;
10;10;ch;40;0.5;0.486486486486486;
1;10;ch;50;0.571428571428571;0.553571428571428;
2;10;ch;50;0.482142857142857;0.589285714285714;
3;10;ch;50;0.464285714285714;0.482142857142857;
4;10;ch;50;0.535714285714285;0.535714285714285;
5;10;ch;50;0.5;0.625;
6;10;ch;50;0.428571428571428;0.535714285714285;
7;10;ch;50;0.517857142857142;0.571428571428571;
8;10;ch;50;0.571428571428571;0.571428571428571;
9;10;ch;50;0.589285714285714;0.375;
10;10;ch;50;0.517857142857142;0.607142857142857;
1;10;cau;40;0.405405405405405;0.446428571428571;
2;10;cau;40;0.405405405405405;0.446428571428571;
3;10;cau;40;0.486486486486486;0.464285714285714;
4;10;cau;40;0.513513513513513;0.5;
5;10;cau;40;0.378378378378378;0.446428571428571;
6;10;cau;40;0.432432432432432;0.464285714285714;
7;10;cau;40;0.432432432432432;0.428571428571428;
8;10;cau;40;0.54054054054054;0.535714285714285;
9;10;cau;40;0.459459459459459;0.482142857142857;
10;10;cau;40;0.459459459459459;0.535714285714285;
1;10;cau;30;0.458333333333333;0.267857142857142;
2;10;cau;30;0.458333333333333;0.5;
3;10;cau;30;0.541666666666666;0.464285714285714;
4;10;cau;30;0.625;0.375;
5;10;cau;30;0.458333333333333;0.464285714285714;
6;10;cau;30;0.583333333333333;0.392857142857142;
7;10;cau;30;0.583333333333333;0.375;
8;10;cau;30;0.458333333333333;0.410714285714285;
9;10;cau;30;0.458333333333333;0.589285714285714;
10;10;cau;30;0.458333333333333;0.482142857142857;
1;10;cau;20;0.357142857142857;0.464285714285714;
2;10;cau;20;0.428571428571428;0.5;
3;10;cau;20;0.357142857142857;0.482142857142857;
4;10;cau;20;0.428571428571428;0.482142857142857;
5;10;cau;20;0.357142857142857;0.428571428571428;
6;10;cau;20;0.214285714285714;0.482142857142857;
7;10;cau;20;0.357142857142857;0.446428571428571;
8;10;cau;20;0.428571428571428;0.5;
9;10;cau;20;0.571428571428571;0.446428571428571;
10;10;cau;20;0.214285714285714;0.464285714285714;
1;10;cau;10;0.333333333333333;0.0535714285714285;
2;10;cau;10;0.166666666666666;0.0892857142857142;
3;10;cau;10;0.333333333333333;0.196428571428571;
4;10;cau;10;0.666666666666666;0.267857142857142;
5;10;cau;10;0.5;0.214285714285714;
6;10;cau;10;0.333333333333333;0.232142857142857;
7;10;cau;10;0.5;0.196428571428571;
8;10;cau;10;0.166666666666666;0.214285714285714;
9;10;cau;10;0.166666666666666;0.107142857142857;
10;10;cau;10;0.166666666666666;0.0892857142857142;
1;10;cau;0;0;0.142857142857142;
2;10;cau;0;0;0.142857142857142;
3;10;cau;0;0;0.178571428571428;
4;10;cau;0;0;0.25;
5;10;cau;0;0;0.25;
6;10;cau;0;0;0.142857142857142;
7;10;cau;0;0;0.178571428571428;
8;10;cau;0;0;0.0714285714285714;
9;10;cau;0;0;0.142857142857142;
10;10;cau;0;0;0.375;
1;20;ch;0;0.553571428571428;0;
2;20;ch;0;0.5;0;
3;20;ch;0;0.428571428571428;0;
4;20;ch;0;0.428571428571428;0;
5;20;ch;0;0.303571428571428;0;
6;20;ch;0;0.5;0;
7;20;ch;0;0.482142857142857;0;
8;20;ch;0;0.25;0;
9;20;ch;0;0.375;0;
10;20;ch;0;0.285714285714285;0;
1;20;ch;10;0.446428571428571;0.5;
2;20;ch;10;0.553571428571428;0.333333333333333;
3;20;ch;10;0.410714285714285;0.333333333333333;
4;20;ch;10;0.339285714285714;0.5;
5;20;ch;10;0.321428571428571;0;
6;20;ch;10;0.375;0.333333333333333;
7;20;ch;10;0.410714285714285;0.333333333333333;
8;20;ch;10;0.357142857142857;0.333333333333333;
9;20;ch;10;0.267857142857142;0.333333333333333;
10;20;ch;10;0.321428571428571;0.5;
1;20;ch;20;0.714285714285714;0.714285714285714;
2;20;ch;20;0.660714285714285;0.642857142857142;
3;20;ch;20;0.803571428571428;0.5;
4;20;ch;20;0.767857142857142;0.571428571428571;
5;20;ch;20;0.642857142857142;0.928571428571428;
6;20;ch;20;0.839285714285714;0.714285714285714;
7;20;ch;20;0.732142857142857;0.857142857142857;
8;20;ch;20;0.678571428571428;0.714285714285714;
9;20;ch;20;0.678571428571428;0.714285714285714;
10;20;ch;20;0.535714285714285;0.785714285714285;
1;20;ch;30;0.821428571428571;0.875;
2;20;ch;30;0.803571428571428;0.916666666666666;
3;20;ch;30;0.910714285714285;0.791666666666666;
4;20;ch;30;0.785714285714285;0.833333333333333;
5;20;ch;30;0.875;0.958333333333333;
6;20;ch;30;0.642857142857142;0.791666666666666;
7;20;ch;30;0.821428571428571;0.791666666666666;
8;20;ch;30;0.821428571428571;0.833333333333333;
9;20;ch;30;0.875;0.583333333333333;
10;20;ch;30;0.785714285714285;0.916666666666666;
1;20;ch;40;0.696428571428571;0.729729729729729;
2;20;ch;40;0.821428571428571;0.783783783783783;
3;20;ch;40;0.892857142857142;0.837837837837837;
4;20;ch;40;0.714285714285714;0.837837837837837;
5;20;ch;40;0.785714285714285;0.918918918918919;
6;20;ch;40;0.75;0.621621621621621;
7;20;ch;40;0.892857142857142;0.837837837837837;
8;20;ch;40;0.732142857142857;0.81081081081081;
9;20;ch;40;0.821428571428571;0.972972972972973;
10;20;ch;40;0.803571428571428;0.783783783783783;
1;20;ch;50;0.946428571428571;0.946428571428571;
2;20;ch;50;0.875;0.875;
3;20;ch;50;0.839285714285714;0.875;
4;20;ch;50;0.839285714285714;0.875;
5;20;ch;50;0.875;0.910714285714285;
6;20;ch;50;0.892857142857142;0.928571428571428;
7;20;ch;50;0.928571428571428;0.964285714285714;
8;20;ch;50;0.821428571428571;0.910714285714285;
9;20;ch;50;0.857142857142857;0.892857142857142;
10;20;ch;50;0.857142857142857;0.875;
1;20;cau;40;0.837837837837837;0.821428571428571;
2;20;cau;40;0.702702702702702;0.607142857142857;
3;20;cau;40;0.756756756756756;0.75;
4;20;cau;40;0.81081081081081;0.857142857142857;
5;20;cau;40;0.756756756756756;0.785714285714285;
6;20;cau;40;0.729729729729729;0.821428571428571;
7;20;cau;40;0.81081081081081;0.857142857142857;
8;20;cau;40;0.729729729729729;0.821428571428571;
9;20;cau;40;0.837837837837837;0.678571428571428;
10;20;cau;40;0.756756756756756;0.714285714285714;
1;20;cau;30;0.708333333333333;0.785714285714285;
2;20;cau;30;0.875;0.785714285714285;
3;20;cau;30;0.833333333333333;0.785714285714285;
4;20;cau;30;1;0.75;
5;20;cau;30;0.791666666666666;0.714285714285714;
6;20;cau;30;0.75;0.767857142857142;
7;20;cau;30;0.875;0.589285714285714;
8;20;cau;30;0.75;0.857142857142857;
9;20;cau;30;0.833333333333333;0.803571428571428;
10;20;cau;30;0.833333333333333;0.803571428571428;
1;20;cau;20;0.714285714285714;0.714285714285714;
2;20;cau;20;0.714285714285714;0.785714285714285;
3;20;cau;20;0.714285714285714;0.553571428571428;
4;20;cau;20;0.5;0.785714285714285;
5;20;cau;20;0.642857142857142;0.660714285714285;
6;20;cau;20;0.571428571428571;0.767857142857142;
7;20;cau;20;0.5;0.821428571428571;
8;20;cau;20;0.571428571428571;0.625;
9;20;cau;20;0.714285714285714;0.839285714285714;
10;20;cau;20;0.785714285714285;0.589285714285714;
1;20;cau;10;0.166666666666666;0.160714285714285;
2;20;cau;10;0;0.25;
3;20;cau;10;0.166666666666666;0.25;
4;20;cau;10;0;0.232142857142857;
5;20;cau;10;0.166666666666666;0.446428571428571;
6;20;cau;10;0.333333333333333;0.357142857142857;
7;20;cau;10;0.5;0.214285714285714;
8;20;cau;10;0.333333333333333;0.267857142857142;
9;20;cau;10;0.5;0.464285714285714;
10;20;cau;10;0.333333333333333;0.160714285714285;
1;20;cau;0;0;0.464285714285714;
2;20;cau;0;0;0.267857142857142;
3;20;cau;0;0;0.267857142857142;
4;20;cau;0;0;0.125;
5;20;cau;0;0;0.232142857142857;
6;20;cau;0;0;0.196428571428571;
7;20;cau;0;0;0.178571428571428;
8;20;cau;0;0;0.125;
9;20;cau;0;0;0.214285714285714;
10;20;cau;0;0;0.178571428571428;
1;30;ch;0;0.821428571428571;0;
2;30;ch;0;0.5;0;
3;30;ch;0;0.339285714285714;0;
4;30;ch;0;0.410714285714285;0;
5;30;ch;0;0.214285714285714;0;
6;30;ch;0;0.571428571428571;0;
7;30;ch;0;0.571428571428571;0;
8;30;ch;0;0.535714285714285;0;
9;30;ch;0;0.660714285714285;0;
10;30;ch;0;0.589285714285714;0;
1;30;ch;10;0.660714285714285;1;
2;30;ch;10;0.446428571428571;0.166666666666666;
3;30;ch;10;0.464285714285714;0.5;
4;30;ch;10;0.517857142857142;0.5;
5;30;ch;10;0.428571428571428;0.166666666666666;
6;30;ch;10;0.357142857142857;0;
7;30;ch;10;0.678571428571428;0.833333333333333;
8;30;ch;10;0.660714285714285;0.5;
9;30;ch;10;0.732142857142857;0.333333333333333;
10;30;ch;10;0.517857142857142;0.833333333333333;
1;30;ch;20;0.964285714285714;0.857142857142857;
2;30;ch;20;0.928571428571428;1;
3;30;ch;20;0.964285714285714;1;
4;30;ch;20;0.964285714285714;0.928571428571428;
5;30;ch;20;0.875;0.928571428571428;
6;30;ch;20;0.928571428571428;0.714285714285714;
7;30;ch;20;0.875;0.571428571428571;
8;30;ch;20;0.875;0.857142857142857;
9;30;ch;20;0.892857142857142;0.785714285714285;
10;30;ch;20;0.839285714285714;0.785714285714285;
1;30;ch;30;0.892857142857142;0.916666666666666;
2;30;ch;30;0.928571428571428;0.916666666666666;
3;30;ch;30;0.964285714285714;1;
4;30;ch;30;0.892857142857142;0.875;
5;30;ch;30;0.982142857142857;0.958333333333333;
6;30;ch;30;0.892857142857142;1;
7;30;ch;30;0.946428571428571;0.875;
8;30;ch;30;0.982142857142857;1;
9;30;ch;30;0.839285714285714;0.791666666666666;
