hidden,ethnie,proportion,proportion_correct_cau,proportion_correct_ch
50,ch,0,0.03571428571428571,0.0
50,ch,0,1.0,0.0
50,ch,0,1.0,0.0
50,ch,0,1.0,0.0
50,ch,0,1.0,0.0
50,ch,0,1.0,0.0
50,ch,0,0.017857142857142856,0.0
50,ch,0,1.0,0.0
50,ch,0,1.0,0.0
50,ch,0,0.017857142857142856,0.0
50,ch,0,1.0,0.0
50,ch,0,1.0,0.0
50,ch,0,1.0,0.0
50,ch,0,1.0,0.0
50,ch,0,1.0,0.0
50,ch,0,0.05357142857142857,0.0
50,ch,0,1.0,0.0
50,ch,0,0.05357142857142857,0.0
50,ch,0,0.017857142857142856,0.0
50,ch,0,1.0,0.0
50,ch,10,0.05357142857142857,0.0
50,ch,10,0.017857142857142856,0.0
50,ch,10,1.0,1.0
50,ch,10,0.07142857142857142,0.16666666666666666
50,ch,10,1.0,1.0
50,ch,10,1.0,1.0
50,ch,10,0.03571428571428571,0.0
50,ch,10,0.0,0.16666666666666666
50,ch,10,0.017857142857142856,0.0
50,ch,10,0.03571428571428571,0.16666666666666666
50,ch,10,1.0,1.0
50,ch,10,0.017857142857142856,0.0
50,ch,10,0.017857142857142856,0.0
50,ch,10,1.0,1.0
50,ch,10,1.0,1.0
50,ch,10,1.0,1.0
50,ch,10,0.017857142857142856,0.0
50,ch,10,0.017857142857142856,0.0
50,ch,10,1.0,1.0
50,ch,10,0.03571428571428571,0.0
50,ch,20,0.017857142857142856,0.0
50,ch,20,0.08928571428571429,0.07142857142857142
50,ch,20,0.017857142857142856,0.07142857142857142
50,ch,20,0.03571428571428571,0.0
50,ch,20,0.017857142857142856,0.07142857142857142
50,ch,20,0.0,0.07142857142857142
50,ch,20,1.0,1.0
50,ch,20,0.03571428571428571,0.07142857142857142
50,ch,20,0.017857142857142856,0.0
50,ch,20,1.0,1.0
50,ch,20,0.03571428571428571,0.0
50,ch,20,0.017857142857142856,0.0
50,ch,20,1.0,1.0
50,ch,20,0.017857142857142856,0.0
50,ch,20,0.03571428571428571,0.07142857142857142
50,ch,20,0.017857142857142856,0.07142857142857142
50,ch,20,1.0,1.0
50,ch,20,1.0,1.0
50,ch,20,0.017857142857142856,0.0
50,ch,20,1.0,1.0
50,ch,30,0.017857142857142856,0.041666666666666664
50,ch,30,0.03571428571428571,0.0
50,ch,30,1.0,1.0
50,ch,30,1.0,1.0
50,ch,30,1.0,1.0
50,ch,30,1.0,1.0
50,ch,30,0.017857142857142856,0.041666666666666664
50,ch,30,1.0,1.0
50,ch,30,0.03571428571428571,0.041666666666666664
50,ch,30,1.0,1.0
50,ch,30,1.0,1.0
50,ch,30,0.0,0.041666666666666664
50,ch,30,0.0,0.08333333333333333
50,ch,30,1.0,1.0
50,ch,30,1.0,1.0
50,ch,30,0.017857142857142856,0.0
50,ch,30,1.0,1.0
50,ch,30,1.0,1.0
50,ch,30,1.0,1.0
50,ch,30,0.0,0.041666666666666664
50,ch,40,1.0,1.0
50,ch,40,0.017857142857142856,0.0
50,ch,40,1.0,1.0
50,ch,40,1.0,1.0
50,ch,40,1.0,1.0
50,ch,40,1.0,1.0
50,ch,40,1.0,1.0
